pickers_distance_travelled,pickers_idle_time,vehicles_busy,shelf_deliveries,agvs_idle_time,clashes,agvs_distance_travelled,stucks,total_deliveries,total_clashes,total_stuck,episode_length,global_episode_return,episode_returns,overall_pick_rate,episode,env,id,time_taken
1,2,"[True, False, True, True, False]",0,3,0,0,0,12,5,0,500,11.899999999999759,[4.5 3.5 2.5 0.7 0.7],17.28,0,small-3agvs-2pickers-partialobs,0_ep0,0.3274354934692383
0,2,"[False, True, True, False, False]",0,1,0,2,0,19,4,1,500,20.099999999999948,[5.5 6.5 5.5 1.1 1.5],27.36,1,small-3agvs-2pickers-partialobs,1_ep1,0.3417079448699951
1,1,"[True, True, True, True, False]",0,0,0,3,0,20,5,0,500,21.400000000000002,[5.5 5.5 7.5 1.3 1.6],28.8,2,small-3agvs-2pickers-partialobs,2_ep2,0.3649601936340332
1,1,"[True, True, True, False, True]",0,1,0,2,0,18,5,0,500,18.99999999999992,[4.5 6.5 5.5 1.6 0.9],25.92,3,small-3agvs-2pickers-partialobs,3_ep3,0.32216858863830566
0,1,"[True, True, True, False, True]",0,1,0,1,0,19,8,3,500,20.199999999999946,[5.5 6.5 5.5 0.9 1.8],27.36,4,small-3agvs-2pickers-partialobs,4_ep4,0.31197476387023926
1,1,"[True, False, True, False, True]",0,2,0,1,0,19,4,0,500,20.299999999999944,[5.5 5.5 6.5 1.7 1.1],27.36,5,small-3agvs-2pickers-partialobs,5_ep5,0.3150796890258789
0,2,"[True, True, False, False, False]",0,1,0,2,0,19,12,0,500,20.29999999999994,[5.5 5.5 6.5 1.2 1.6],27.36,6,small-3agvs-2pickers-partialobs,6_ep6,0.3053450584411621
1,1,"[True, False, True, False, True]",0,1,0,2,0,17,4,0,500,18.099999999999874,[5.5 4.5 5.5 0.8 1.8],24.48,7,small-3agvs-2pickers-partialobs,7_ep7,0.3206596374511719
2,1,"[True, True, True, True, True]",0,0,0,3,0,18,11,0,500,18.999999999999922,[5.5 5.5 5.5 1.6 0.9],25.92,8,small-3agvs-2pickers-partialobs,8_ep8,0.30359888076782227
1,2,"[True, True, True, False, True]",0,3,1,1,0,19,13,1,500,20.09999999999995,[6.5 5.5 5.5 1.7 0.9],27.36,9,small-3agvs-2pickers-partialobs,9_ep9,0.3039712905883789
