pickers_distance_travelled,pickers_idle_time,vehicles_busy,shelf_deliveries,agvs_idle_time,clashes,agvs_distance_travelled,stucks,total_deliveries,total_clashes,total_stuck,episode_length,global_episode_return,episode_returns,overall_pick_rate,episode,env,id,time_taken
2,3,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False]",0,10,1,4,0,45,120,1,500,43.39999999999968,"[ 3.5  4.5  3.5  3.5  1.5  2.5  2.5  2.5  3.5  2.5  1.5  2.5  2.5  1.5
  2.4  1.8  2.7 -0.5 -0.5 -0.5]",64.8,0,tiny-14agvs-6pickers-partialobs,0_ep0,0.8172824382781982
1,5,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False]",0,13,3,5,0,37,750,68,500,34.19999999999981,"[ 1.5  0.5  2.5  1.5  1.5  2.5  2.5  2.5  2.5  0.5  3.5  4.5  2.5  1.5
  2.1  2.4  1.2 -0.5 -0.5 -0.5]",53.28,1,tiny-14agvs-6pickers-partialobs,1_ep1,0.9095852375030518
2,5,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, False, False, False]",0,11,2,5,0,48,110,0,500,47.399999999999594,"[ 3.5  2.5  2.5  2.5  3.5  3.5  3.5  2.5  2.5  3.5  3.5  2.5  1.5  3.5
  2.9  2.6  2.4 -0.5 -0.5 -0.5]",69.12,2,tiny-14agvs-6pickers-partialobs,2_ep2,0.7758207321166992
0,6,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, False, False, False]",0,14,1,0,0,21,537,30,500,15.200000000000163,"[ 5.5  0.5  1.5 -0.5 -0.5  1.5  1.5 -0.5  0.5  1.5  0.5  1.5 -0.5  1.5
  1.9  1.3 -0.5 -0.5 -0.5 -0.5]",30.24,3,tiny-14agvs-6pickers-partialobs,3_ep3,0.7899820804595947
3,5,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False]",0,12,1,2,0,33,527,30,500,29.300000000000118,"[-0.5  0.5  3.5  0.5  0.5  0.5  0.5  3.5  1.5  4.5  3.5 -0.5  3.5  4.5
  2.6 -0.3  2.5 -0.5 -0.5 -0.5]",47.52,4,tiny-14agvs-6pickers-partialobs,4_ep4,0.8073039054870605
1,6,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, False, False, False, False]",0,14,1,3,0,20,474,29,500,13.500000000000178,"[ 1.5  0.5 -0.5 -0.5  0.5  6.5  0.5  0.5  0.5  1.5  0.5  0.5  0.5  0.5
  0.2 -0.1  1.9 -0.5 -0.5 -0.5]",28.8,5,tiny-14agvs-6pickers-partialobs,5_ep5,0.8609402179718018
3,4,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False]",0,11,1,4,0,45,120,0,500,43.499999999999716,"[ 2.5  2.5  2.5  1.5  4.5  2.5  3.5  2.5  1.5  2.5  3.5  4.5  1.5  2.5
  2.1  2.1  2.8 -0.5 -0.5 -0.5]",64.8,6,tiny-14agvs-6pickers-partialobs,6_ep6,0.8479113578796387
3,3,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False]",0,12,5,9,0,39,1291,109,500,37.09999999999975,"[ 4.5  1.5  3.5  3.5  1.5  1.5  2.5  1.5  2.5  0.5 -0.5  3.5  3.5  2.5
  2.9  2.3  1.4 -0.5 -0.5 -0.5]",56.16,7,tiny-14agvs-6pickers-partialobs,7_ep7,0.9626321792602539
3,3,"[True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, False, False]",1,12,0,4,0,45,133,1,500,43.49999999999977,"[ 3.5  2.5  2.5  3.5  3.5  3.5  1.5  2.5  1.5  2.5  2.5  3.5  2.5  2.5
  2.6  2.1  2.3 -0.5 -0.5 -0.5]",64.8,8,tiny-14agvs-6pickers-partialobs,8_ep8,0.8167848587036133
3,4,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False]",0,11,1,3,0,34,428,22,500,30.40000000000013,"[ 3.5  3.5  1.5  2.5  0.5  0.5  2.5  2.5  0.5  1.5  0.5  1.5  3.5  2.5
  2.7  2.1  0.1 -0.5 -0.5 -0.5]",48.96,9,tiny-14agvs-6pickers-partialobs,9_ep9,0.8458611965179443
