pickers_distance_travelled,pickers_idle_time,vehicles_busy,shelf_deliveries,agvs_idle_time,clashes,agvs_distance_travelled,stucks,total_deliveries,total_clashes,total_stuck,episode_length,global_episode_return,episode_returns,overall_pick_rate,episode,env,id,time_taken
6,4,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, False, False, True]",0,9,0,12,0,57,105,13,500,53.90000000000042,"[2.5 3.5 3.5 2.5 1.5 2.5 2.5 2.5 2.5 2.5 1.5 3.5 2.5 1.5 2.5 2.5 2.5 2.5
 2.5 0.8 0.3 0.4 1.2 0.3 1.1 0.3 0.5 1.5]",82.08,0,extralarge-19agvs-9pickers-partialobs,0_ep0,2.5096828937530518
4,5,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, False, True, False]",0,9,0,8,0,55,69,11,500,52.1000000000004,"[2.5 2.5 2.5 1.5 2.5 2.5 2.5 2.5 3.5 1.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 1.5
 2.5 0.7 0.7 0.7 1.1 0.3 0.5 0.8 0.7 1.1]",79.2,1,extralarge-19agvs-9pickers-partialobs,1_ep1,2.470634698867798
7,4,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, False]",0,8,0,12,0,58,98,18,500,55.700000000000394,"[3.5 2.5 1.5 3.5 1.5 1.5 3.5 3.5 3.5 2.5 1.5 1.5 2.5 2.5 2.5 2.5 2.5 2.5
 3.5 1.1 0.8 0.2 0.3 0.8 0.9 1.  0.8 1.3]",83.52,2,extralarge-19agvs-9pickers-partialobs,2_ep2,2.529083490371704
4,5,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, True, False, False, True, True]",0,8,0,11,0,59,85,12,500,56.100000000000456,"[2.5 3.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 3.5 2.5 2.5 2.5 3.5 2.5 1.5
 2.5 1.  0.7 0.3 0.5 0.5 0.4 0.5 1.5 1.2]",84.96,3,extralarge-19agvs-9pickers-partialobs,3_ep3,2.651294231414795
3,8,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False]",0,10,1,11,0,51,541,79,500,46.800000000000395,"[ 3.5  1.5  2.5  2.5 -0.5  2.5  0.5  3.5  0.5  3.5  2.5  3.5  2.5  3.5
  4.5  2.5  2.5 -0.5  0.5  1.1  1.2  0.8  0.9  0.3  0.6  0.2 -0.4  0.6]",73.44,4,extralarge-19agvs-9pickers-partialobs,4_ep4,2.7415380477905273
5,4,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, True, False]",0,8,0,12,0,56,67,18,500,52.60000000000045,"[1.5 2.5 1.5 2.5 2.5 1.5 2.5 2.5 3.5 2.5 2.5 3.5 2.5 1.5 2.5 2.5 2.5 2.5
 3.5 0.5 0.5 1.2 0.7 0.9 0.6 0.3 0.9 0.5]",80.64,5,extralarge-19agvs-9pickers-partialobs,5_ep5,2.4958276748657227
5,5,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, False, True, True, False]",0,10,0,8,0,57,60,16,500,53.80000000000046,"[ 1.5  3.5  3.5  1.5  2.5  3.5  3.5  3.5  1.5  2.5  1.5  2.5  2.5  2.5
  2.5  2.5  2.5  1.5  2.5  1.2  0.8  0.8 -0.2  0.8  0.8  0.9  0.7  0.5]",82.08,6,extralarge-19agvs-9pickers-partialobs,6_ep6,2.517894983291626
5,2,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, False]",0,9,0,9,0,58,74,8,500,55.000000000000455,"[2.5 2.5 1.5 2.5 2.5 3.5 2.5 2.5 2.5 2.5 1.5 2.5 2.5 3.5 2.5 2.5 2.5 2.5
 3.5 1.2 0.6 0.2 0.5 1.3 0.3 0.7 1.2 0.5]",83.52,7,extralarge-19agvs-9pickers-partialobs,7_ep7,2.5118443965911865
7,2,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, False, True]",0,6,0,13,0,54,92,11,500,50.100000000000385,"[ 2.5  2.5  2.5  1.5  2.5  1.5  3.5  1.5  1.5  2.5  2.5  2.5  3.5  3.5
  2.5  2.5  1.5  2.5  1.5  0.5  1.3  1.1  0.5  0.3 -0.1  0.4  0.4  1.2]",77.76,8,extralarge-19agvs-9pickers-partialobs,8_ep8,2.485781192779541
7,2,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, True, True, True, True]",0,9,0,9,0,58,65,9,500,55.70000000000048,"[3.5 3.5 2.5 1.5 2.5 1.5 3.5 3.5 2.5 2.5 3.5 1.5 2.5 2.5 2.5 1.5 1.5 2.5
 3.5 1.6 0.6 0.6 0.7 1.  0.4 0.9 0.4 1. ]",83.52,9,extralarge-19agvs-9pickers-partialobs,9_ep9,2.602917432785034
