pickers_distance_travelled,pickers_idle_time,vehicles_busy,shelf_deliveries,agvs_idle_time,clashes,agvs_distance_travelled,stucks,total_deliveries,total_clashes,total_stuck,episode_length,global_episode_return,episode_returns,overall_pick_rate,episode,env,id,time_taken
2,0,"[True, True, True, True, True]",0,2,0,1,0,10,3,2,500,9.499999999999957,[3.5 2.5 2.5 0.3 0.7],14.4,0,extralarge-3agvs-2pickers-partialobs,0_ep0,0.8242332935333252
1,1,"[True, True, True, True, False]",0,2,0,1,0,12,1,4,500,11.699999999999937,[3.5 2.5 4.5 0.7 0.5],17.28,1,extralarge-3agvs-2pickers-partialobs,1_ep1,0.9185826778411865
2,1,"[True, True, True, True, True]",0,1,0,2,0,14,5,3,500,14.299999999999846,[5.5 3.5 3.5 1.1 0.7],20.16,2,extralarge-3agvs-2pickers-partialobs,2_ep2,0.8555550575256348
1,1,"[True, True, True, True, False]",0,1,0,2,0,11,8,0,500,10.399999999999997,[ 3.5  2.5  3.5  1.  -0.1],15.84,3,extralarge-3agvs-2pickers-partialobs,3_ep3,0.843757152557373
2,1,"[True, True, True, False, True]",0,1,0,2,1,10,1,3,500,9.499999999999964,[3.5 2.5 2.5 0.9 0.1],14.4,4,extralarge-3agvs-2pickers-partialobs,4_ep4,0.8502953052520752
0,2,"[True, True, True, False, False]",0,0,0,2,0,14,2,4,500,14.599999999999847,[5.5 3.5 3.5 1.  1.1],20.16,5,extralarge-3agvs-2pickers-partialobs,5_ep5,0.930290699005127
1,2,"[True, True, True, False, True]",0,0,0,3,0,10,1,3,500,9.499999999999996,[3.5 2.5 2.5 0.5 0.5],14.4,6,extralarge-3agvs-2pickers-partialobs,6_ep6,0.8225111961364746
1,1,"[True, True, True, False, True]",0,1,0,2,0,11,4,4,500,10.69999999999993,[2.5 3.5 3.5 0.4 0.8],15.84,7,extralarge-3agvs-2pickers-partialobs,7_ep7,0.876533031463623
1,1,"[True, True, True, True, False]",0,1,0,2,0,13,2,1,500,13.099999999999847,[3.5 3.5 4.5 1.  0.6],18.72,8,extralarge-3agvs-2pickers-partialobs,8_ep8,-1.4853575229644775
1,1,"[True, True, True, False, True]",0,2,0,1,0,13,1,1,500,12.799999999999937,[3.5 4.5 3.5 1.  0.3],18.72,9,extralarge-3agvs-2pickers-partialobs,9_ep9,0.8230495452880859
