pickers_distance_travelled,pickers_idle_time,vehicles_busy,shelf_deliveries,agvs_idle_time,clashes,agvs_distance_travelled,stucks,total_deliveries,total_clashes,total_stuck,episode_length,global_episode_return,episode_returns,overall_pick_rate,episode,env,id,time_taken
3,1,"[True, True, True, True, True, True, True, True, True, True, False]",0,3,0,4,0,39,53,3,500,40.89999999999987,[5.5 4.5 5.5 6.5 3.5 5.5 4.5 1.5 1.9 0.7 1.3],56.16,0,small-7agvs-4pickers-partialobs,0_ep0,0.56756591796875
2,2,"[True, True, True, True, True, True, True, True, True, False, False]",0,3,0,3,0,36,45,0,500,37.5,[5.5 3.5 6.5 4.5 4.5 4.5 3.5 1.8 2.2 0.3 0.7],51.84,1,small-7agvs-4pickers-partialobs,1_ep1,0.5964467525482178
2,3,"[True, True, True, True, True, True, True, True, True, False, False]",0,4,0,3,0,30,39,0,500,30.400000000000173,[ 2.5  4.5  3.5  3.5  3.5  5.5  3.5  1.9  2.  -0.5  0.5],43.2,2,small-7agvs-4pickers-partialobs,2_ep2,0.4972963333129883
3,1,"[True, True, True, True, True, True, True, True, True, True, False]",0,4,0,3,0,34,36,2,500,34.90000000000015,[5.5 3.5 4.5 3.5 4.5 4.5 4.5 1.9 1.5 0.6 0.4],48.96,3,small-7agvs-4pickers-partialobs,3_ep3,0.5676240921020508
2,2,"[True, True, True, True, True, True, True, True, True, False, False]",0,2,0,5,0,37,48,3,500,38.799999999999855,[5.5 5.5 3.5 4.5 4.5 5.5 4.5 1.8 2.  0.3 1.2],53.28,4,small-7agvs-4pickers-partialobs,4_ep4,0.5838305950164795
4,2,"[True, True, True, True, True, True, True, True, True, True, True]",0,4,0,3,0,31,37,3,500,31.600000000000183,[3.5 3.5 3.5 3.5 4.5 3.5 5.5 2.1 1.  0.3 0.7],44.64,5,small-7agvs-4pickers-partialobs,5_ep5,0.5239319801330566
2,3,"[True, True, True, True, True, False, True, True, False, True, False]",0,3,0,4,0,36,36,2,500,37.80000000000001,"[ 4.5000000e+00  4.5000000e+00  3.5000000e+00  6.5000000e+00
  4.5000000e+00  3.5000000e+00  5.5000000e+00  1.8000000e+00
  1.3000000e+00 -3.2959746e-16  2.2000000e+00]",51.84,6,small-7agvs-4pickers-partialobs,6_ep6,0.5630311965942383
2,2,"[True, True, True, True, True, True, True, True, True, False, False]",0,3,0,4,0,27,44,0,500,26.900000000000254,[3.5 3.5 3.5 3.5 3.5 3.5 2.5 0.1 2.2 0.2 0.9],38.88,7,small-7agvs-4pickers-partialobs,7_ep7,0.5106933116912842
2,3,"[True, True, True, True, True, True, True, False, True, True, False]",0,3,0,5,0,36,32,4,500,37.29999999999991,[4.5 5.5 4.5 3.5 5.5 4.5 4.5 2.2 2.2 0.1 0.3],51.84,8,small-7agvs-4pickers-partialobs,8_ep8,0.5569002628326416
1,4,"[True, True, True, True, True, True, True, False, True, False, False]",0,3,0,5,0,34,50,3,500,35.200000000000074,[3.5 5.5 5.5 3.5 4.5 3.5 4.5 1.1 1.9 0.9 0.8],48.96,9,small-7agvs-4pickers-partialobs,9_ep9,0.560173749923706
