pickers_distance_travelled,pickers_idle_time,vehicles_busy,shelf_deliveries,agvs_idle_time,clashes,agvs_distance_travelled,stucks,total_deliveries,total_clashes,total_stuck,episode_length,global_episode_return,episode_returns,overall_pick_rate,episode,env,id,time_taken
1,1,"[False, True, True, True, False]",0,3,0,0,0,16,12,2,500,16.69999999999989,[4.5 5.5 4.5 1.3 0.9],23.04,0,large-3agvs-2pickers-partialobs,0_ep0,0.5213520526885986
2,0,"[True, True, True, True, True]",0,1,0,2,0,13,5,2,500,12.999999999999853,[3.5 3.5 4.5 0.9 0.6],18.72,1,large-3agvs-2pickers-partialobs,1_ep1,0.5618805885314941
2,2,"[True, True, True, True, True]",0,0,0,3,0,14,12,4,500,14.299999999999855,[4.5 3.5 4.5 1.3 0.5],20.16,2,large-3agvs-2pickers-partialobs,2_ep2,0.5338921546936035
1,1,"[True, True, True, False, True]",0,2,0,1,0,14,2,2,500,14.099999999999858,[3.5 4.5 4.5 1.3 0.3],20.16,3,large-3agvs-2pickers-partialobs,3_ep3,0.518906831741333
2,1,"[True, True, True, True, True]",0,1,0,2,0,12,11,0,500,11.899999999999858,[3.5 3.5 3.5 1.1 0.3],17.28,4,large-3agvs-2pickers-partialobs,4_ep4,0.5526726245880127
1,1,"[True, True, True, True, False]",0,1,0,1,0,15,8,0,500,15.399999999999897,[3.5 4.5 5.5 1.3 0.6],21.6,5,large-3agvs-2pickers-partialobs,5_ep5,0.5212054252624512
0,1,"[True, True, True, True, False]",0,1,0,1,0,16,4,4,500,16.799999999999898,[3.5 6.5 4.5 1.  1.3],23.04,6,large-3agvs-2pickers-partialobs,6_ep6,0.6537652015686035
1,2,"[True, True, True, False, True]",0,0,0,3,0,14,4,1,500,14.19999999999986,[3.5 3.5 5.5 0.6 1.1],20.16,7,large-3agvs-2pickers-partialobs,7_ep7,0.5575265884399414
2,0,"[True, True, True, True, True]",0,1,0,2,0,14,5,3,500,14.299999999999882,[4.5 3.5 4.5 1.1 0.7],20.16,8,large-3agvs-2pickers-partialobs,8_ep8,0.5540354251861572
1,2,"[True, True, True, True, False]",0,1,0,2,0,16,8,4,500,16.599999999999884,[5.5 4.5 4.5 0.4 1.7],23.04,9,large-3agvs-2pickers-partialobs,9_ep9,0.5849785804748535
