pickers_distance_travelled,pickers_idle_time,vehicles_busy,shelf_deliveries,agvs_idle_time,clashes,agvs_distance_travelled,stucks,total_deliveries,total_clashes,total_stuck,episode_length,global_episode_return,episode_returns,overall_pick_rate,episode,env,id,time_taken
5,6,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False]",0,10,0,10,0,74,218,7,500,74.20000000000003,"[ 3.5  3.5  3.5  4.5  3.5  4.5  3.5  3.5  3.5  2.5  4.5  2.5  2.5  2.5
  2.5  3.5  3.5  4.5  2.5  2.   1.5  1.2  2.3  2.6  1.6 -0.5 -0.5 -0.5]",106.56,0,small-19agvs-9pickers-partialobs,0_ep0,1.4456398487091064
2,7,"[True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False]",0,18,5,13,1,40,1948,309,500,35.10000000000036,"[ 0.5  0.5  0.5  4.5 -0.5  2.5  3.5  1.5 -0.5  1.5  5.5 -0.5 -0.5  6.5
 -0.5  1.5  5.5 -0.5 -0.5  1.1  1.3  0.9  1.3  0.5  1.  -0.5 -0.5 -0.5]",57.6,1,small-19agvs-9pickers-partialobs,1_ep1,1.7959330081939697
1,8,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, True, False, False, False, False]",0,18,7,16,0,40,2217,272,500,34.90000000000041,"[ 2.5 -0.5  0.5 -0.5  1.5  0.5  1.5 -0.5  2.5  4.5  1.5  3.5  3.5  1.5
  0.5  0.5  6.5  0.5  0.5  0.4  1.7  0.5  1.4  0.6  1.3 -0.5 -0.5 -0.5]",57.6,2,small-19agvs-9pickers-partialobs,2_ep2,1.7594339847564697
4,8,"[True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, True, True, False, False, False]",0,17,1,4,0,52,433,24,500,47.90000000000045,"[ 0.5  1.5  1.5  2.5  3.5  1.5  1.5  1.5  1.5  3.5  0.5  0.5  4.5  3.5
  2.5  5.5  3.5  1.5  1.5  0.3  0.7  1.   1.9  1.4  1.6 -0.5 -0.5 -0.5]",74.88,3,small-19agvs-9pickers-partialobs,3_ep3,1.4244744777679443
2,9,"[True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, False, False, False, False, False]",0,13,1,6,0,65,479,25,500,63.900000000000475,"[ 1.5  4.5  4.5  2.5  3.5  4.5  2.5  5.5  1.5  4.5  4.5  4.5  1.5  0.5
  1.5  2.5  1.5  3.5  0.5  1.8  1.9  0.3  2.5  1.7  1.7 -0.5 -0.5 -0.5]",93.6,4,small-19agvs-9pickers-partialobs,4_ep4,1.4411211013793945
5,5,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, False, False]",0,7,0,12,0,73,232,13,500,73.30000000000022,"[ 4.5  2.5  3.5  2.5  2.5  4.5  3.5  2.5  3.5  2.5  2.5  5.5  3.5  2.5
  3.5  3.5  3.5  3.5  3.5  1.5  2.2  1.7  1.7  2.2  2.  -0.5 -0.5 -0.5]",105.12,5,small-19agvs-9pickers-partialobs,5_ep5,1.5402145385742188
3,8,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, False, True, False, False, False]",0,14,1,7,0,62,385,10,500,59.400000000000496,"[ 3.5  1.5  2.5  2.5  3.5  2.5  2.5  2.5  2.5  2.5  2.5  3.5  5.5  2.5
  2.5  1.5  3.5  3.5  1.5  1.1  2.3  1.1  1.6  1.2  1.1 -0.5 -0.5 -0.5]",89.28,6,small-19agvs-9pickers-partialobs,6_ep6,1.3871212005615234
4,8,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, False, True, True, False, False, False]",0,13,1,6,0,53,597,38,500,49.4000000000004,"[ 3.5  0.5 -0.5  0.5 -0.5  4.5  3.5  2.5  3.5  4.5  0.5  0.5  2.5  5.5
  0.5 -0.5  5.5  1.5  5.5  1.5  1.7  1.1  1.9  1.6 -0.4 -0.5 -0.5 -0.5]",76.32,7,small-19agvs-9pickers-partialobs,7_ep7,1.423816204071045
2,6,"[False, True, True, True, False, True, True, True, True, True, True, True, True, True, False, True, False, True, True, False, True, False, True, False, True, False, False, False]",0,12,0,8,0,75,245,10,500,75.60000000000012,"[ 4.5  3.5  3.5  3.5  3.5  3.5  4.5  3.5  2.5  3.5  3.5  3.5  2.5  4.5
  2.5  3.5  2.5  3.5  3.5  1.7  2.3  2.   2.   2.   1.6 -0.5 -0.5 -0.5]",108.0,8,small-19agvs-9pickers-partialobs,8_ep8,1.5439438819885254
4,6,"[True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, True, False, False, False]",0,12,0,7,0,72,248,7,500,72.10000000000011,"[ 3.5  3.5  3.5  3.5  2.5  2.5  3.5  3.5  3.5  2.5  2.5  4.5  2.5  3.5
  4.5  2.5  3.5  3.5  3.5  2.5  1.4  1.8  1.9  1.9  1.6 -0.5 -0.5 -0.5]",103.68,9,small-19agvs-9pickers-partialobs,9_ep9,1.5158116817474365
