pickers_distance_travelled,pickers_idle_time,vehicles_busy,shelf_deliveries,agvs_idle_time,clashes,agvs_distance_travelled,stucks,total_deliveries,total_clashes,total_stuck,episode_length,global_episode_return,episode_returns,overall_pick_rate,episode,env,id,time_taken
2,2,"[True, True, True, True, True, True, True, True, False, True, True]",0,2,0,4,0,33,40,4,500,34.19999999999999,[5.5 4.5 3.5 3.5 4.5 4.5 3.5 1.  1.5 1.5 0.7],47.52,0,medium-7agvs-4pickers-partialobs,0_ep0,1.0854153633117676
3,2,"[True, True, True, True, True, True, True, True, False, True, True]",0,3,1,4,0,39,18,3,500,41.09999999999992,[5.5 4.5 5.5 4.5 4.5 5.5 5.5 1.6 1.3 1.  1.7],56.16,1,medium-7agvs-4pickers-partialobs,1_ep1,1.2572481632232666
3,1,"[True, True, True, True, True, True, True, True, True, False, True]",0,4,0,3,0,33,31,3,500,33.90000000000011,[4.5 4.5 4.5 3.5 3.5 4.5 4.5 1.8 1.9 0.3 0.4],47.52,2,medium-7agvs-4pickers-partialobs,2_ep2,1.013817310333252
2,2,"[True, True, True, True, True, True, True, True, False, True, False]",0,3,0,4,0,38,32,3,500,39.69999999999993,[6.5 4.5 4.5 4.5 3.5 6.5 4.5 2.1 1.1 1.1 0.9],54.72,3,medium-7agvs-4pickers-partialobs,3_ep3,0.8835623264312744
2,2,"[True, True, True, True, True, True, True, True, True, False, False]",0,3,0,4,0,33,31,3,500,33.900000000000155,[4.5 3.5 5.5 4.5 4.5 3.5 3.5 1.5 1.8 1.  0.1],47.52,4,medium-7agvs-4pickers-partialobs,4_ep4,0.7875866889953613
2,3,"[True, True, True, True, True, True, True, False, False, True, True]",0,2,0,5,0,24,31,0,500,23.300000000000193,"[ 3.50000000e+00  3.50000000e+00  2.50000000e+00  3.50000000e+00
  2.50000000e+00  2.50000000e+00  2.50000000e+00  3.00000000e-01
  1.90000000e+00 -3.26128013e-16  6.00000000e-01]",34.56,5,medium-7agvs-4pickers-partialobs,5_ep5,0.8385729789733887
2,2,"[True, True, True, True, True, True, True, False, True, True, False]",0,3,0,4,0,35,25,2,500,36.40000000000001,[5.5 5.5 3.5 5.5 3.5 3.5 4.5 1.5 1.1 1.1 1.2],50.4,6,medium-7agvs-4pickers-partialobs,6_ep6,0.840156078338623
2,2,"[True, True, True, True, True, True, False, True, False, True, False]",1,4,0,2,0,32,18,3,500,32.500000000000234,[2.5 3.5 4.5 2.5 7.5 3.5 4.5 1.8 1.3 0.7 0.2],46.08,7,medium-7agvs-4pickers-partialobs,7_ep7,0.8001933097839355
1,1,"[True, True, True, True, True, True, True, True, True, False, True]",0,2,0,3,0,32,16,2,500,33.10000000000019,[3.5 3.5 5.5 2.5 3.5 5.5 4.5 1.7 1.9 0.3 0.7],46.08,8,medium-7agvs-4pickers-partialobs,8_ep8,0.6923859119415283
3,2,"[True, True, True, True, True, True, True, True, True, True, False]",0,3,0,4,0,38,15,6,500,40.09999999999991,[5.5 4.5 4.5 4.5 4.5 5.5 5.5 1.3 1.6 0.9 1.8],54.72,9,medium-7agvs-4pickers-partialobs,9_ep9,0.7768344879150391
